read_best,seed,tag,task,cpu,gpus,debug,verbose,num_workers,test_all,test,phase,version,graph_dir,data_dir,log_path,load,ts_mask,add_flat,add_diag,flat_first,random_g,sample_layers,flat_nhid,model,batch_size,fc_dim,main_dropout,main_act_fn,batch_norm_loc,epochs,l2,lr,sch,class_weights,clip_grad,use_amp,auto_lr,auto_bsz,attn,lstm_indim,lstm_layers,lstm_nhid,lstm_pooling,lstm_dropout,bilstm,lstm_attn_units,lstm_attn_hops,dynamic_g,edge_weight,g_version,ns_size1,ns_size2,gnn_name,flatten,inductive,self_loop,diag_to_gnn,gnn_indim,gnn_outdim,dg_k,sgc_layers,sgc_k,no_sgc_bias,sgc_norm,gcn_nhid,gcn_layers,gcn_activation,gcn_dropout,gat_nhid,gat_layers,gat_n_heads,gat_n_out_heads,gat_activation,gat_featdrop,gat_attndrop,gat_negslope,gat_residual,sage_nhid,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,mpnn_layer_s2s,lg_version,lg_alpha,ns_sizes,flat_after,read_lstm_emb,classification,out_dim,num_cls,final_act_fn,lstm_attn_type,lstm_outdim,lstm_last_ts_dim,add_last_ts,gat_heads,num_gpus,multi_gpu,ray_dir,num_flat_feats,test_acc,test_prec0,test_prec1,test_rec0,test_rec1,test_auroc,test_auprc,test_minpse,test_f1macro,test_acc_lstm,test_prec0_lstm,test_prec1_lstm,test_rec0_lstm,test_rec1_lstm,test_auroc_lstm,test_auprc_lstm,test_minpse_lstm,test_f1macro_lstm,test_loss,test_loss_lstm,test_tot_loss
False,1,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat64out64flat64_lr0.000586093cw_l20.000243593ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmgat1_alpha1,,True,True,False,False,False,,64,lstmgnn,64,32,0.0106298,relu,,25,0.000243593,0.000586093,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,gat,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,6,8,elu,0.292106,0.64364,0.2,False,64,64,3,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,"[6, 8]",1,False,/homes/ecr38/ray_results/,57,0.7765726447105408,0.9640097618103027,0.25474101305007935,0.7826660871505737,0.7177033424377441,0.8365402071193065,0.3783489111260232,0.41673306772908364,0.619971288959228,0.758919894695282,0.9312317967414856,0.17816279828548431,0.7924886345863342,0.4346092641353607,0.6184741719604981,0.18870921862723172,0.2342629482071713,0.5545003994819013,0.5006111264228821,0.691906213760376,1.1925172805786133
False,2,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat64out64flat64_lr0.000586093cw_l20.000243593ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmgat1_alpha1,,True,True,False,False,False,,64,lstmgnn,64,32,0.0106298,relu,,25,0.000243593,0.000586093,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,gat,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,6,8,elu,0.292106,0.64364,0.2,False,64,64,3,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,"[6, 8]",1,False,/homes/ecr38/ray_results/,57,0.7812102437019348,0.964704692363739,0.25998276472091675,0.787371039390564,0.7216905951499939,0.8387797430393604,0.3912959524084212,0.41228070175438597,0.6246616749631098,0.36689355969429016,0.8292155265808105,0.03923824056982994,0.37952950596809387,0.2448165863752365,0.640874731194474,0.19495210432436916,0.24703087885985747,0.294180422496661,0.4967934489250183,0.6950652599334717,1.1918585300445557
False,3,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat64out64flat64_lr0.000586093cw_l20.000243593ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmgat1_alpha1,,True,True,False,False,False,,64,lstmgnn,64,32,0.0106298,relu,,25,0.000243593,0.000586093,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,gat,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,6,8,elu,0.292106,0.64364,0.2,False,64,64,3,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,"[6, 8]",1,False,/homes/ecr38/ray_results/,57,0.7741042971611023,0.9644571542739868,0.2532140910625458,0.7794469594955444,0.7224880456924438,0.8352386519143692,0.3765740026468781,0.41228070175438597,0.61856911348489,0.11751066148281097,0.7568881511688232,0.08657465130090714,0.03854725509881973,0.880382776260376,0.4780173194025096,0.10125252963555015,0.11965317919075144,0.11550259484411982,0.5027501583099365,0.6943073868751526,1.1970574855804443
False,4,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat64out64flat64_lr0.000586093cw_l20.000243593ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmgat1_alpha1,,True,True,False,False,False,,64,lstmgnn,64,32,0.0106298,relu,,25,0.000243593,0.000586093,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,gat,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,6,8,elu,0.292106,0.64364,0.2,False,64,64,3,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,"[6, 8]",1,False,/homes/ecr38/ray_results/,57,0.7586206793785095,0.9657304286956787,0.24222628772258759,0.7606273293495178,0.739234447479248,0.8316961785020086,0.35173424922620816,0.3885350318471338,0.6079419303756042,0.7197995185852051,0.9498978853225708,0.19370697438716888,0.7292612195014954,0.6283891797065735,0.6753778087585678,0.20550857204872855,0.2773044151820294,0.5606066620088419,0.5086703896522522,0.6875404119491577,1.1962108612060547
False,5,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat64out64flat64_lr0.000586093cw_l20.000243593ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmgat1_alpha1,,True,True,False,False,False,,64,lstmgnn,64,32,0.0106298,relu,,25,0.000243593,0.000586093,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,gat,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,6,8,elu,0.292106,0.64364,0.2,False,64,64,3,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,"[6, 8]",1,False,/homes/ecr38/ray_results/,57,0.7609394788742065,0.9662310481071472,0.24474237859249115,0.7628559470176697,0.7424242496490479,0.8295622230077124,0.3517150424229468,0.39362549800796814,0.6103563606810445,0.0963422879576683,0.5772727131843567,0.08829569071531296,0.01048287283629179,0.9258373379707336,0.6738344849103587,0.20176240088829733,0.25703125,0.09090411258227432,0.5118162035942078,0.6982332468032837,1.2100495100021362
False,6,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat64out64flat64_lr0.000586093cw_l20.000243593ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmgat1_alpha1,,True,True,False,False,False,,64,lstmgnn,64,32,0.0106298,relu,,25,0.000243593,0.000586093,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,gat,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,6,8,elu,0.292106,0.64364,0.2,False,64,64,3,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,"[6, 8]",1,False,/homes/ecr38/ray_results/,57,0.7438850998878479,0.9697329998016357,0.2365225851535797,0.7404869794845581,0.7767145037651062,0.8308006537561027,0.3491519997387971,0.3881527669524552,0.6011831938189769,0.18400777876377106,0.7445255517959595,0.05723195523023605,0.15154767036437988,0.49760764837265015,0.2654398208028983,0.06091272418155578,0.09379908744109507,0.1772457423667581,0.5107637643814087,0.7004832029342651,1.2112469673156738
False,7,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat64out64flat64_lr0.000586093cw_l20.000243593ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmgat1_alpha1,,True,True,False,False,False,,64,lstmgnn,64,32,0.0106298,relu,,25,0.000243593,0.000586093,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,gat,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,6,8,elu,0.292106,0.64364,0.2,False,64,64,3,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,"[6, 8]",1,False,/homes/ecr38/ray_results/,57,0.758919894695282,0.9669187068939209,0.24408629536628723,0.7599669694900513,0.7488038539886475,0.8314055032151346,0.3486938345882832,0.39324960753532184,0.6096026507557009,0.9029844999313354,0.9122084975242615,0.41295546293258667,0.9880313873291016,0.08133970946073532,0.7576782443107355,0.2438934772569513,0.31210191082802546,0.5422582987231743,0.5093091726303101,0.690455973148346,1.1997650861740112
False,8,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat64out64flat64_lr0.000586093cw_l20.000243593ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmgat1_alpha1,,True,True,False,False,False,,64,lstmgnn,64,32,0.0106298,relu,,25,0.000243593,0.000586093,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,gat,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,6,8,elu,0.292106,0.64364,0.2,False,64,64,3,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,"[6, 8]",1,False,/homes/ecr38/ray_results/,57,0.7489715218544006,0.9673460721969604,0.23711855709552765,0.7482459545135498,0.7559808492660522,0.8301370570838608,0.34838719922322176,0.3869426751592357,0.6024052999246609,0.7425386905670166,0.8912043571472168,0.02101576142013073,0.8154354095458984,0.038277510553598404,0.24203394371194184,0.05699243259619709,0.09379908744109507,0.4393859525155455,0.5095305442810059,0.6977381110191345,1.2072685956954956
False,9,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat64out64flat64_lr0.000586093cw_l20.000243593ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmgat1_alpha1,,True,True,False,False,False,,64,lstmgnn,64,32,0.0106298,relu,,25,0.000243593,0.000586093,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,gat,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,6,8,elu,0.292106,0.64364,0.2,False,64,64,3,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,"[6, 8]",1,False,/homes/ecr38/ray_results/,57,0.7652778625488281,0.9659503698348999,0.2478586733341217,0.7680561542510986,0.7384369969367981,0.829924678502996,0.34964904091903964,0.39490445859872614,0.6134265772670964,0.17607899010181427,0.745755136013031,0.061539843678474426,0.1377630978822708,0.5462520122528076,0.24841454929862078,0.05765275296896252,0.09380610412926392,0.17159115165873137,0.5104907155036926,0.6983617544174194,1.2088525295257568
False,10,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat64out64flat64_lr0.000586093cw_l20.000243593ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmgat1_alpha1,,True,True,False,False,False,,64,lstmgnn,64,32,0.0106298,relu,,25,0.000243593,0.000586093,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,gat,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,6,8,elu,0.292106,0.64364,0.2,False,64,64,3,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,"[6, 8]",1,False,/homes/ecr38/ray_results/,57,0.7444087266921997,0.9685412645339966,0.23538047075271606,0.7420552968978882,0.7671451568603516,0.830837119813378,0.35096328956973,0.3914396887159533,0.6002684409376692,0.34071359038352966,0.907631516456604,0.09442060440778732,0.3033429682254791,0.7017543911933899,0.2823419699964653,0.06210905405136724,0.09384822631342614,0.310580089640107,0.5110119581222534,0.6933683156967163,1.2043802738189697
