read_best,seed,tag,task,cpu,gpus,debug,verbose,num_workers,test_all,test,phase,version,graph_dir,data_dir,log_path,load,ts_mask,add_flat,add_diag,flat_first,random_g,sample_layers,flat_nhid,model,batch_size,fc_dim,main_dropout,main_act_fn,batch_norm_loc,epochs,l2,lr,sch,class_weights,clip_grad,use_amp,auto_lr,auto_bsz,attn,lstm_indim,lstm_layers,lstm_nhid,lstm_pooling,lstm_dropout,bilstm,lstm_attn_units,lstm_attn_hops,dynamic_g,edge_weight,g_version,ns_size1,ns_size2,gnn_name,flatten,inductive,self_loop,diag_to_gnn,gnn_indim,gnn_outdim,dg_k,sgc_layers,sgc_k,no_sgc_bias,sgc_norm,gcn_nhid,gcn_layers,gcn_activation,gcn_dropout,gat_nhid,gat_layers,gat_n_heads,gat_n_out_heads,gat_activation,gat_featdrop,gat_attndrop,gat_negslope,gat_residual,sage_nhid,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,mpnn_layer_s2s,lg_version,lg_alpha,ns_sizes,flat_after,read_lstm_emb,classification,out_dim,num_cls,final_act_fn,lstm_attn_type,lstm_outdim,lstm_last_ts_dim,add_last_ts,num_gpus,multi_gpu,ray_dir,num_flat_feats,test_acc,test_prec0,test_prec1,test_rec0,test_rec1,test_auroc,test_auprc,test_minpse,test_f1macro,test_acc_lstm,test_prec0_lstm,test_prec1_lstm,test_rec0_lstm,test_rec1_lstm,test_auroc_lstm,test_auprc_lstm,test_minpse_lstm,test_f1macro_lstm,test_loss,test_loss_lstm,test_tot_loss
False,1,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64mpnn256out128flat64_lr0.000598424cw_l22.12073e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmmpnn1_alpha1,,True,True,False,False,False,,64,lstmgnn,128,32,0.211259,relu,,25,2.12073e-05,0.000598424,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,256,2,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,1,False,/homes/ecr38/ray_results/,57,0.7792654633522034,0.9651776552200317,0.2588803768157959,0.7847296595573425,0.7264752984046936,0.8380756321825462,0.38460507212187056,0.419175911251981,0.6236902326706931,0.7445583343505859,0.9458794593811035,0.2009410411119461,0.7617003917694092,0.5789473652839661,0.650867813175305,0.19696313206287638,0.27171314741035857,0.5710964464409927,0.4994606077671051,0.6861538887023926,1.1856144666671753
False,2,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64mpnn256out128flat64_lr0.000598424cw_l22.12073e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmmpnn1_alpha1,,True,True,False,False,False,,64,lstmgnn,128,32,0.211259,relu,,25,2.12073e-05,0.000598424,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,256,2,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,1,False,/homes/ecr38/ray_results/,57,0.7807614803314209,0.9658145904541016,0.2611791491508484,0.7858852744102478,0.7312599420547485,0.8379739024144612,0.39229318822252746,0.41316415543219664,0.6257494208885283,0.8511481881141663,0.9092893600463867,0.13199999928474426,0.9283533096313477,0.10526315867900848,0.7104016137217692,0.24336391264944796,0.3126984126984127,0.5179237709446308,0.4979928433895111,0.6923205256462097,1.1903133392333984
False,3,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64mpnn256out128flat64_lr0.000598424cw_l22.12073e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmmpnn1_alpha1,,True,True,False,False,False,,64,lstmgnn,128,32,0.211259,relu,,25,2.12073e-05,0.000598424,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,256,2,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,1,False,/homes/ecr38/ray_results/,57,0.7799386382102966,0.9655872583389282,0.2600909471511841,0.7851423621177673,0.7296651005744934,0.8391059628585965,0.3899403138275208,0.41139240506329117,0.6247763727513351,0.8796469569206238,0.9215214252471924,0.30429989099502563,0.94791579246521,0.220095694065094,0.512623541933662,0.09999660607986124,0.11223776223776223,0.5949847919156779,0.4970007836818695,0.6888222098350525,1.1858230829238892
False,4,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64mpnn256out128flat64_lr0.000598424cw_l22.12073e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmmpnn1_alpha1,,True,True,False,False,False,,64,lstmgnn,128,32,0.211259,relu,,25,2.12073e-05,0.000598424,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,256,2,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,1,False,/homes/ecr38/ray_results/,57,0.7830802798271179,0.9641382098197937,0.2608948349952698,0.7900123596191406,0.7161084413528442,0.8360819788562691,0.391550748283723,0.4171974522292994,0.6254430715899814,0.2814720571041107,0.7941383123397827,0.04130052775144577,0.2795707881450653,0.29984050989151,0.2681083594816028,0.05988213577420043,0.09379908744109507,0.24307700087773462,0.5024600028991699,0.7021629810333252,1.2046229839324951
False,5,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64mpnn256out128flat64_lr0.000598424cw_l22.12073e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmmpnn1_alpha1,,True,True,False,False,False,,64,lstmgnn,128,32,0.211259,relu,,25,2.12073e-05,0.000598424,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,256,2,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,1,False,/homes/ecr38/ray_results/,57,0.7856982350349426,0.9642642140388489,0.2635749876499176,0.792901337146759,0.7161084413528442,0.8385317870145291,0.3920562653906755,0.41382049245432884,0.6277759852763966,0.5434213280677795,0.9445348381996155,0.1330205798149109,0.5271151661872864,0.7009569406509399,0.6952302857846225,0.18595747337003174,0.25831399845320957,0.45011681426195427,0.4983585476875305,0.6902356147766113,1.1885942220687866
False,6,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64mpnn256out128flat64_lr0.000598424cw_l22.12073e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmmpnn1_alpha1,,True,True,False,False,False,,64,lstmgnn,128,32,0.211259,relu,,25,2.12073e-05,0.000598424,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,256,2,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,1,False,/homes/ecr38/ray_results/,57,0.7793402671813965,0.9648980498313904,0.25854215025901794,0.7850598692893982,0.7240829467773438,0.8365633439769459,0.38258758462128006,0.4138755980861244,0.62338526224083,0.834841787815094,0.9428699016571045,0.2815934121608734,0.8704911470413208,0.490430623292923,0.6931748244659598,0.24269736318491003,0.32456140350877194,0.6315010973043015,0.5012962222099304,0.68284672498703,1.1841429471969604
False,7,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64mpnn256out128flat64_lr0.000598424cw_l22.12073e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmmpnn1_alpha1,,True,True,False,False,False,,64,lstmgnn,128,32,0.211259,relu,,25,2.12073e-05,0.000598424,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,256,2,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,1,False,/homes/ecr38/ray_results/,57,0.7838282585144043,0.9652981162071228,0.26331019401550293,0.7898473143577576,0.7256778478622437,0.8377408553462597,0.39141327870459913,0.41467304625199364,0.6276076153993547,0.875158965587616,0.9288881421089172,0.3257766664028168,0.9337185025215149,0.30940988659858704,0.5933978334949294,0.20867564226164262,0.24641148325358853,0.6243397472758654,0.4990721642971039,0.6882492303848267,1.187321424484253
False,8,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64mpnn256out128flat64_lr0.000598424cw_l22.12073e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmmpnn1_alpha1,,True,True,False,False,False,,64,lstmgnn,128,32,0.211259,relu,,25,2.12073e-05,0.000598424,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,256,2,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,1,False,/homes/ecr38/ray_results/,57,0.7876430749893188,0.9641713500022888,0.26532426476478577,0.7952125668525696,0.7145135402679443,0.8341735007612453,0.38465069568551197,0.41068580542264754,0.6292682992106557,0.4723614454269409,0.9400104284286499,0.11932265758514404,0.4462236762046814,0.7248803973197937,0.2509408111130639,0.058248263613323255,0.09379908744109507,0.40504308600535577,0.5059948563575745,0.6916667819023132,1.1976616382598877
False,9,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64mpnn256out128flat64_lr0.000598424cw_l22.12073e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmmpnn1_alpha1,,True,True,False,False,False,,64,lstmgnn,128,32,0.211259,relu,,25,2.12073e-05,0.000598424,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,256,2,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,1,False,/homes/ecr38/ray_results/,57,0.7871942520141602,0.9637782573699951,0.264296293258667,0.7950474619865417,0.7113237380981445,0.8375574060653453,0.39083865689838254,0.4130781499202552,0.628357893056829,0.5990724563598633,0.9366515874862671,0.13560526072978973,0.598019003868103,0.6092504262924194,0.6624717865274374,0.18686915198173143,0.23684210526315788,0.47590494328836774,0.49993905425071716,0.6902123093605042,1.190151333808899
False,10,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64mpnn256out128flat64_lr0.000598424cw_l22.12073e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flat/lstmgnn_led/lstmmpnn1_alpha1,,True,True,False,False,False,,64,lstmgnn,128,32,0.211259,relu,,25,2.12073e-05,0.000598424,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,True,False,2d,25,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,256,2,6,3,1,1,35_25,True,False,True,2,2,,,64,64,True,1,False,/homes/ecr38/ray_results/,57,0.7910090684890747,0.963962197303772,0.26835137605667114,0.7992570996284485,0.7113237380981445,0.8378266888095939,0.3824050623029488,0.4154704944178628,0.6318033941957533,0.8454633951187134,0.9296280741691589,0.2574671506881714,0.89739990234375,0.3437001705169678,0.5642502637865063,0.13471479952040225,0.2056843679880329,0.6038143212545585,0.5000704526901245,0.6884286403656006,1.1884989738464355
