read_best,seed,tag,task,cpu,gpus,debug,verbose,num_workers,test_all,test,phase,version,graph_dir,data_dir,log_path,load,ts_mask,add_flat,add_diag,flat_first,random_g,sample_layers,flat_nhid,model,batch_size,fc_dim,main_dropout,main_act_fn,batch_norm_loc,epochs,l2,lr,sch,class_weights,clip_grad,use_amp,auto_lr,auto_bsz,attn,lstm_indim,lstm_layers,lstm_nhid,lstm_pooling,lstm_dropout,bilstm,lstm_attn_units,lstm_attn_hops,dynamic_g,edge_weight,g_version,ns_size1,ns_size2,gnn_name,flatten,inductive,self_loop,diag_to_gnn,gnn_indim,gnn_outdim,dg_k,sgc_layers,sgc_k,no_sgc_bias,sgc_norm,gcn_nhid,gcn_layers,gcn_activation,gcn_dropout,gat_nhid,gat_layers,gat_n_heads,gat_n_out_heads,gat_activation,gat_featdrop,gat_attndrop,gat_negslope,gat_residual,sage_nhid,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,mpnn_layer_s2s,lg_version,lg_alpha,fp_lstm,fp_logits,ns_sizes,flat_after,read_lstm_emb,classification,out_dim,num_cls,final_act_fn,lstm_attn_type,lstm_outdim,lstm_last_ts_dim,add_last_ts,sampling_layers,num_gpus,multi_gpu,ray_dir,num_flat_feats,test_acc,test_prec0,test_prec1,test_rec0,test_rec1,test_auroc,test_auprc,test_minpse,test_f1macro,test_loss
False,1,,ihm,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000610885cw_l29.8266e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,256,32,0.0389121,relu,,25,9.8266e-05,0.000610885,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,True,2,2,,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.7904106378555298,0.9674731492996216,0.27288731932640076,0.7954601645469666,0.7416267991065979,0.8574868962448517,0.4286893469927787,0.44621513944223107,0.6360226156837862,0.47244107723236084
False,2,,ihm,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000610885cw_l29.8266e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,256,32,0.0389121,relu,,25,9.8266e-05,0.000610885,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,True,2,2,,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.7896626591682434,0.967722475528717,0.2724883258342743,0.7943871021270752,0.7440191507339478,0.8569225938819961,0.4279458227965716,0.44896331738437,0.6357089394736342,0.47328677773475647
False,3,,ihm,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000610885cw_l29.8266e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,256,32,0.0389121,relu,,25,9.8266e-05,0.000610885,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,True,2,2,,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.7850998640060425,0.9690418243408203,0.2698322534561157,0.7880313396453857,0.7567782998085022,0.8576689632383965,0.4269869424752173,0.4451510333863275,0.6335165368811205,0.4722663462162018
False,4,,ihm,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000610885cw_l29.8266e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,256,32,0.0389121,relu,,25,9.8266e-05,0.000610885,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,True,2,2,,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.7711122632026672,0.9701942205429077,0.25855615735054016,0.7711101770401001,0.7711323499679565,0.8589316498389634,0.4286287279759255,0.4507154213036566,0.6232681204200007,0.47059938311576843
False,5,,ihm,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000610885cw_l29.8266e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,256,32,0.0389121,relu,,25,9.8266e-05,0.000610885,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,True,2,2,,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.7922806739807129,0.9688692688941956,0.27675169706344604,0.7963681221008301,0.7527910470962524,0.8575221774843818,0.42987600408814264,0.44657097288676234,0.6394530785478508,0.4725537598133087
False,6,,ihm,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000610885cw_l29.8266e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,256,32,0.0389121,relu,,25,9.8266e-05,0.000610885,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,True,2,2,,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.7901114225387573,0.9685895442962646,0.27415600419044495,0.7941395044326782,0.7511961460113525,0.8569354294075714,0.42362223194726706,0.4409888357256778,0.6372189887696083,0.47280070185661316
False,7,,ihm,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000610885cw_l29.8266e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,256,32,0.0389121,relu,,25,9.8266e-05,0.000610885,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,True,2,2,,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.7729074954986572,0.9711468815803528,0.2613818943500519,0.7723483443260193,0.7783094048500061,0.8585998350470406,0.42745287643486357,0.4585326953748006,0.6258765036086608,0.4708966910839081
False,8,,ihm,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000610885cw_l29.8266e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,256,32,0.0389121,relu,,25,9.8266e-05,0.000610885,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,True,2,2,,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.7879422307014465,0.969160795211792,0.27277952432632446,0.7911679744720459,0.7567782998085022,0.8581078065666549,0.43206959922715293,0.44258373205741625,0.6360899000491265,0.47113919258117676
False,9,,ihm,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000610885cw_l29.8266e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,256,32,0.0389121,relu,,25,9.8266e-05,0.000610885,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,True,2,2,,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.7969182729721069,0.9674756526947021,0.27963802218437195,0.8028889894485474,0.739234447479248,0.8590918635274262,0.43002246707583125,0.4583002382843527,0.6416548789965889,0.4707452952861786
False,10,,ihm,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000610885cw_l29.8266e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,256,32,0.0389121,relu,,25,9.8266e-05,0.000610885,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,True,2,2,,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.790560245513916,0.9682316184043884,0.2741087079048157,0.7949649095535278,0.7480064034461975,0.8582592657684431,0.42558086519782895,0.45055821371610844,0.6371412736126876,0.4714086651802063
