read_best,seed,tag,task,cpu,gpus,debug,verbose,num_workers,test_all,test,phase,version,graph_dir,data_dir,log_path,load,ts_mask,add_flat,add_diag,flat_first,random_g,sample_layers,flat_nhid,model,batch_size,fc_dim,main_dropout,main_act_fn,batch_norm_loc,epochs,l2,lr,sch,class_weights,clip_grad,use_amp,auto_lr,auto_bsz,attn,lstm_indim,lstm_layers,lstm_nhid,lstm_pooling,lstm_dropout,bilstm,lstm_attn_units,lstm_attn_hops,dynamic_g,edge_weight,g_version,ns_size1,ns_size2,gnn_name,flatten,inductive,self_loop,diag_to_gnn,gnn_indim,gnn_outdim,dg_k,sgc_layers,sgc_k,no_sgc_bias,sgc_norm,gcn_nhid,gcn_layers,gcn_activation,gcn_dropout,gat_nhid,gat_layers,gat_n_heads,gat_n_out_heads,gat_activation,gat_featdrop,gat_attndrop,gat_negslope,gat_residual,sage_nhid,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,mpnn_layer_s2s,lg_version,lg_alpha,fp_lstm,fp_logits,ns_sizes,flat_after,read_lstm_emb,classification,out_dim,num_cls,final_act_fn,lstm_attn_type,lstm_outdim,lstm_last_ts_dim,add_last_ts,sampling_layers,num_gpus,multi_gpu,ray_dir,num_flat_feats,test_kappa,test_mad,test_mse,test_mape,test_msle,test_r2,test_loss
False,1,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000960172cw_l23.3784e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,32,32,0.134232,relu,,25,3.3784e-05,0.000960172,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.25017671999481784,1.9408069849014282,16.959070205688477,48.8509863615036,0.3824118375778198,0.11978669811612486,0.3824118375778198
False,2,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000960172cw_l23.3784e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,32,32,0.134232,relu,,25,3.3784e-05,0.000960172,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.2596168804271962,1.9396768808364868,16.981536865234375,48.612502217292786,0.3828442394733429,0.11862051242370408,0.3828442096710205
False,3,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000960172cw_l23.3784e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,32,32,0.134232,relu,,25,3.3784e-05,0.000960172,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.2625289372328502,1.9404213428497314,16.950660705566406,48.902976512908936,0.38253894448280334,0.12022301555270165,0.38253891468048096
False,4,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000960172cw_l23.3784e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,32,32,0.134232,relu,,25,3.3784e-05,0.000960172,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.25146612882134335,1.9390428066253662,16.980854034423828,48.594507575035095,0.3824925124645233,0.11865591814753318,0.3824925422668457
False,5,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000960172cw_l23.3784e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,32,32,0.134232,relu,,25,3.3784e-05,0.000960172,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.24444562918954182,1.9563997983932495,16.821147918701172,51.90906524658203,0.38227933645248413,0.12694514248584765,0.38227930665016174
False,6,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000960172cw_l23.3784e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,32,32,0.134232,relu,,25,3.3784e-05,0.000960172,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.2315237210870167,1.9567956924438477,17.06818962097168,50.98869800567627,0.3834894299507141,0.11412306606811606,0.3834894001483917
False,7,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000960172cw_l23.3784e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,32,32,0.134232,relu,,25,3.3784e-05,0.000960172,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.23146712623667033,1.9574514627456665,16.918197631835938,51.66156888008118,0.38281166553497314,0.12190796226380762,0.38281163573265076
False,8,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000960172cw_l23.3784e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,32,32,0.134232,relu,,25,3.3784e-05,0.000960172,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.2410597580805549,1.9578934907913208,16.908334732055664,51.8726110458374,0.3829178214073181,0.1224198881433447,0.3829178214073181
False,9,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000960172cw_l23.3784e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,32,32,0.134232,relu,,25,3.3784e-05,0.000960172,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.24695346977056343,1.9504088163375854,16.917991638183594,50.93561410903931,0.3816036581993103,0.12191861210249078,0.3816036283969879
False,10,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000960172cw_l23.3784e-05ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flatd/lstm_baselines,,True,True,True,False,False,,64,lstm,32,32,0.134232,relu,,25,3.3784e-05,0.000960172,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,576,0.2515876505122253,1.944075345993042,17.012353897094727,49.39282536506653,0.38156479597091675,0.1170210066296895,0.38156476616859436
