read_best,seed,tag,task,cpu,gpus,debug,verbose,num_workers,test_all,test,phase,version,graph_dir,data_dir,log_path,load,ts_mask,add_flat,add_diag,flat_first,random_g,sample_layers,flat_nhid,model,batch_size,fc_dim,main_dropout,main_act_fn,batch_norm_loc,epochs,l2,lr,sch,class_weights,clip_grad,use_amp,auto_lr,auto_bsz,attn,lstm_indim,lstm_layers,lstm_nhid,lstm_pooling,lstm_dropout,bilstm,lstm_attn_units,lstm_attn_hops,dynamic_g,edge_weight,g_version,ns_size1,ns_size2,gnn_name,flatten,inductive,self_loop,diag_to_gnn,gnn_indim,gnn_outdim,dg_k,sgc_layers,sgc_k,no_sgc_bias,sgc_norm,gcn_nhid,gcn_layers,gcn_activation,gcn_dropout,gat_nhid,gat_layers,gat_n_heads,gat_n_out_heads,gat_activation,gat_featdrop,gat_attndrop,gat_negslope,gat_residual,sage_nhid,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,mpnn_layer_s2s,lg_version,lg_alpha,fp_lstm,fp_logits,ns_sizes,flat_after,read_lstm_emb,classification,out_dim,num_cls,final_act_fn,lstm_attn_type,lstm_outdim,lstm_last_ts_dim,add_last_ts,sampling_layers,num_gpus,multi_gpu,ray_dir,num_flat_feats,test_kappa,test_mad,test_mse,test_mape,test_msle,test_r2,test_loss
False,1,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000660119cw_l20.000938585ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flat/lstm_baselines,,True,True,False,False,False,,64,lstm,64,32,0.168568,relu,,25,0.000938585,0.000660119,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,57,0.2362016690515425,1.9581292867660522,17.346418380737305,49.02520477771759,0.3915671706199646,0.09968236557630616,0.3915671408176422
False,2,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000660119cw_l20.000938585ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flat/lstm_baselines,,True,True,False,False,False,,64,lstm,64,32,0.168568,relu,,25,0.000938585,0.000660119,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,57,0.22822689800635132,1.958528757095337,17.416484832763672,48.92527759075165,0.39156267046928406,0.09604574453061576,0.39156270027160645
False,3,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000660119cw_l20.000938585ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flat/lstm_baselines,,True,True,False,False,False,,64,lstm,64,32,0.168568,relu,,25,0.000938585,0.000660119,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,57,0.2347533642715346,1.9644627571105957,17.188793182373047,50.58469772338867,0.39029815793037415,0.1078634633655835,0.39029812812805176
False,4,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000660119cw_l20.000938585ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flat/lstm_baselines,,True,True,False,False,False,,64,lstm,64,32,0.168568,relu,,25,0.000938585,0.000660119,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,57,0.23755684641559704,1.9633656740188599,17.234966278076172,50.09758472442627,0.3910696804523468,0.10546696391467625,0.3910696506500244
False,5,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000660119cw_l20.000938585ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flat/lstm_baselines,,True,True,False,False,False,,64,lstm,64,32,0.168568,relu,,25,0.000938585,0.000660119,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,57,0.2319718891160839,1.9636551141738892,17.330429077148438,49.779218435287476,0.39198553562164307,0.10051221717170611,0.3919854760169983
False,6,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000660119cw_l20.000938585ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flat/lstm_baselines,,True,True,False,False,False,,64,lstm,64,32,0.168568,relu,,25,0.000938585,0.000660119,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,57,0.2320510118667497,1.9601191282272339,17.336570739746094,49.28785264492035,0.3915901780128479,0.10019354127793667,0.3915901482105255
False,7,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000660119cw_l20.000938585ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flat/lstm_baselines,,True,True,False,False,False,,64,lstm,64,32,0.168568,relu,,25,0.000938585,0.000660119,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,57,0.2184387730434243,1.9764233827590942,17.684253692626953,49.36151206493378,0.40150949358940125,0.08214787076545149,0.40150946378707886
False,8,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000660119cw_l20.000938585ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flat/lstm_baselines,,True,True,False,False,False,,64,lstm,64,32,0.168568,relu,,25,0.000938585,0.000660119,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,57,0.21358845355588718,1.9900134801864624,17.69482421875,50.68024396896362,0.4053735136985779,0.08159932612099241,0.40537354350090027
False,9,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000660119cw_l20.000938585ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flat/lstm_baselines,,True,True,False,False,False,,64,lstm,64,32,0.168568,relu,,25,0.000938585,0.000660119,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,57,0.211917231007141,1.9817644357681274,17.764612197875977,49.62449669837952,0.40382078289985657,0.0779772183138413,0.40382078289985657
False,10,,los,False,-1,False,False,0,False,False,test,e25biLSTM64flat64_lr0.000660119cw_l20.000938585ns35:25,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/los/tm_flat/lstm_baselines,,True,True,False,False,False,,64,lstm,64,32,0.168568,relu,,25,0.000938585,0.000660119,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,25,10,gat,False,False,False,False,,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,False,1,1,False,/homes/ecr38/ray_results/,57,0.21600180229039567,1.9744038581848145,17.800302505493164,48.52587878704071,0.40263521671295166,0.07612469267962041,0.4026351869106293
