read_best,seed,tag,task,cpu,gpus,debug,verbose,num_workers,test_all,test,phase,version,graph_dir,data_dir,log_path,load,ts_mask,add_flat,add_diag,flat_first,random_g,sample_layers,flat_nhid,model,batch_size,fc_dim,main_dropout,main_act_fn,batch_norm_loc,epochs,l2,lr,sch,class_weights,clip_grad,use_amp,auto_lr,auto_bsz,attn,lstm_indim,lstm_layers,lstm_nhid,lstm_pooling,lstm_dropout,bilstm,lstm_attn_units,lstm_attn_hops,dynamic_g,edge_weight,g_version,ns_size1,ns_size2,gnn_name,flatten,inductive,self_loop,diag_to_gnn,gnn_indim,gnn_outdim,dg_k,sgc_layers,sgc_k,no_sgc_bias,sgc_norm,gcn_nhid,gcn_layers,gcn_activation,gcn_dropout,gat_nhid,gat_layers,gat_n_heads,gat_n_out_heads,gat_activation,gat_featdrop,gat_attndrop,gat_negslope,gat_residual,sage_nhid,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,mpnn_layer_s2s,lg_version,lg_alpha,fp_emb,fp_logits,ns_sizes,flat_after,read_lstm_emb,classification,out_dim,num_cls,final_act_fn,lstm_attn_type,lstm_outdim,lstm_last_ts_dim,add_last_ts,gat_heads,num_gpus,multi_gpu,ray_dir,num_flat_feats,test_acc,test_prec0,test_prec1,test_rec0,test_rec1,test_auroc,test_auprc,test_minpse,test_f1macro,test_acc_lstm,test_prec0_lstm,test_prec1_lstm,test_rec0_lstm,test_rec1_lstm,test_auroc_lstm,test_auprc_lstm,test_minpse_lstm,test_f1macro_lstm,test_loss,test_loss_lstm,test_tot_loss
False,1,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat128out256flat64_lr0.000722616cw_l20.000333634ns40:30,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,True,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,40_30,True,False,True,2,2,,,64,64,True,"[12, 10]",1,False,/homes/ecr38/ray_results/,576,0.7829306721687317,0.9677189588546753,0.271625816822052,0.7861515283584595,0.7525370717048645,0.8525669937502293,0.42627727999775594,0.4357976653696498,0.6333544077227147,0.7271299362182617,0.9597951769828796,0.21760916709899902,0.7287392616271973,0.7119438052177429,0.7921848223617489,0.3359956329471183,0.36503067484662577,0.5808959528511866,0.47776442766189575,0.5522568821907043,1.2090740203857422
False,2,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat128out256flat64_lr0.000722616cw_l20.000333634ns40:30,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,True,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,40_30,True,False,True,2,2,,,64,64,True,"[12, 10]",1,False,/homes/ecr38/ray_results/,576,0.7853242754936218,0.9682039618492126,0.27460992336273193,0.7884678840637207,0.7556596398353577,0.852704677796084,0.427697021742496,0.43559718969555034,0.6359853886514432,0.7319919466972351,0.960177481174469,0.2211724817752838,0.7340337634086609,0.7127244472503662,0.7926477623630198,0.3347759796370841,0.36243180046765394,0.5847991291145601,0.47799327969551086,0.5520251989364624,1.208996057510376
False,3,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat128out256flat64_lr0.000722616cw_l20.000333634ns40:30,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,True,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,40_30,True,False,True,2,2,,,64,64,True,"[12, 10]",1,False,/homes/ecr38/ray_results/,576,0.7828558683395386,0.9672397971153259,0.27090394496917725,0.7864824533462524,0.748633861541748,0.8537553258927117,0.42787149201114744,0.4340359094457455,0.6326942559792414,0.7310943007469177,0.9596276879310608,0.21985472738742828,0.7334546446800232,0.7088212370872498,0.793761892362591,0.34100222740102454,0.366120218579235,0.5835234864919919,0.4757377505302429,0.5501725077629089,1.2042871713638306
False,4,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat128out256flat64_lr0.000722616cw_l20.000333634ns40:30,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,True,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,40_30,True,False,True,2,2,,,64,64,True,"[12, 10]",1,False,/homes/ecr38/ray_results/,576,0.7955718636512756,0.965283989906311,0.2810615301132202,0.8027796149253845,0.727556586265564,0.8501365022362678,0.4169982195013156,0.441588785046729,0.6410228384091254,0.7498691082000732,0.9573221802711487,0.2291940152645111,0.7571144700050354,0.6814988255500793,0.7913932682576019,0.33698382690916817,0.35730858468677495,0.5942769977798009,0.482696533203125,0.5563281178474426,1.2193973064422607
False,5,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat128out256flat64_lr0.000722616cw_l20.000333634ns40:30,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,True,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,40_30,True,False,True,2,2,,,64,64,True,"[12, 10]",1,False,/homes/ecr38/ray_results/,576,0.7800134420394897,0.967877209186554,0.26905953884124756,0.7826770544052124,0.7548789978027344,0.8545729056396729,0.43416053930856086,0.44133644133644134,0.6310992204368228,0.7286259531974792,0.9609851837158203,0.22012878954410553,0.7294837832450867,0.7205308079719543,0.7954028640348089,0.34679087495500793,0.3686671862821512,0.5833067695622758,0.4742709994316101,0.5484565496444702,1.2005481719970703
False,6,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat128out256flat64_lr0.000722616cw_l20.000333634ns40:30,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,True,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,40_30,True,False,True,2,2,,,64,64,True,"[12, 10]",1,False,/homes/ecr38/ray_results/,576,0.777844250202179,0.9686471819877625,0.26805824041366577,0.7795334458351135,0.761904776096344,0.8539480964728603,0.4270073616166352,0.43813229571984436,0.6302240697454549,0.7286259531974792,0.9609851837158203,0.22012878954410553,0.7294837832450867,0.7205308079719543,0.7919905987370265,0.3436463612701172,0.3665893271461717,0.5833067695622758,0.4748881757259369,0.5523741841316223,1.2063530683517456
False,7,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat128out256flat64_lr0.000722616cw_l20.000333634ns40:30,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,True,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,40_30,True,False,True,2,2,,,64,64,True,"[12, 10]",1,False,/homes/ecr38/ray_results/,576,0.7731318473815918,0.9696089625358582,0.2650214731693268,0.7733289003372192,0.7712724208831787,0.8536222270097351,0.42143142993602983,0.43615384615384617,0.6274534362240195,0.7255591154098511,0.9600043892860413,0.2169274538755417,0.726753830909729,0.7142857313156128,0.7910676894033914,0.3355843037467817,0.3580343213728549,0.5800197667226707,0.4753105640411377,0.5535656213760376,1.2083532810211182
False,8,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat128out256flat64_lr0.000722616cw_l20.000333634ns40:30,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,True,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,40_30,True,False,True,2,2,,,64,64,True,"[12, 10]",1,False,/homes/ecr38/ray_results/,576,0.7626599073410034,0.9708461165428162,0.25756022334098816,0.7603408098220825,0.7845433354377747,0.8564322214765413,0.4281031666325179,0.44049459041731065,0.6203007324634677,0.7041663527488708,0.9631021618843079,0.2085876166820526,0.699619472026825,0.7470725774765015,0.7976272492484208,0.34098793038170605,0.37091757387247276,0.5683023718428979,0.47160470485687256,0.5458703637123108,1.1944570541381836
False,9,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat128out256flat64_lr0.000722616cw_l20.000333634ns40:30,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,True,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,40_30,True,False,True,2,2,,,64,64,True,"[12, 10]",1,False,/homes/ecr38/ray_results/,576,0.7763482928276062,0.968389630317688,0.2663385272026062,0.7780443429946899,0.7603434920310974,0.854404901397041,0.4238073110963976,0.4399690162664601,0.6286678668702925,0.7162091135978699,0.961906909942627,0.21384650468826294,0.7144275307655334,0.733021080493927,0.7956221446059627,0.34190705013770445,0.3678516228748068,0.5754997524738222,0.47399866580963135,0.5468575954437256,1.1981583833694458
False,10,,ihm,False,-1,False,False,8,False,False,test,e25biLSTM64gat128out256flat64_lr0.000722616cw_l20.000333634ns40:30,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/graphs/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/eICU_data/mmap/,/homes/ecr38/PycharmProjects/eICU-GNN-LSTM/local_log/ihm/tm_flatd/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,True,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,40_30,True,False,True,2,2,,,64,64,True,"[12, 10]",1,False,/homes/ecr38/ray_results/,576,0.7677462697029114,0.969969630241394,0.2607555091381073,0.766876220703125,0.7759562730789185,0.8553332677202983,0.4329801399811363,0.43559718969555034,0.6234442692326062,0.7010247707366943,0.9625014066696167,0.20618779957294464,0.6964758634567261,0.7439500093460083,0.7942916401243858,0.3433104965578591,0.3629976580796253,0.565523007524128,0.47337329387664795,0.5496286749839783,1.201202630996704
