read_best,seed,tag,task,cpu,gpus,debug,verbose,num_workers,test_all,test,phase,version,graph_dir,data_dir,log_path,load,ts_mask,add_flat,add_diag,flat_first,random_g,sample_layers,flat_nhid,model,batch_size,fc_dim,main_dropout,main_act_fn,batch_norm_loc,epochs,l2,lr,sch,class_weights,clip_grad,use_amp,auto_lr,auto_bsz,attn,lstm_indim,lstm_layers,lstm_nhid,lstm_pooling,lstm_dropout,bilstm,lstm_attn_units,lstm_attn_hops,dynamic_g,edge_weight,g_version,ns_size1,ns_size2,gnn_name,flatten,inductive,self_loop,diag_to_gnn,gnn_indim,gnn_outdim,dg_k,sgc_layers,sgc_k,no_sgc_bias,sgc_norm,gcn_nhid,gcn_layers,gcn_activation,gcn_dropout,gat_nhid,gat_layers,gat_n_heads,gat_n_out_heads,gat_activation,gat_featdrop,gat_attndrop,gat_negslope,gat_residual,sage_nhid,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,mpnn_layer_s2s,lg_version,lg_alpha,fp_emb,fp_logits,ns_sizes,flat_after,read_lstm_emb,classification,out_dim,num_cls,final_act_fn,lstm_attn_type,lstm_outdim,lstm_last_ts_dim,add_last_ts,gat_heads,num_gpus,multi_gpu,repeat_path,ray_dir,num_flat_feats,test_acc,test_prec0,test_prec1,test_rec0,test_rec1,test_auroc,test_auprc,test_minpse,test_f1macro,test_acc_lstm,test_prec0_lstm,test_prec1_lstm,test_rec0_lstm,test_rec1_lstm,test_auroc_lstm,test_auprc_lstm,test_minpse_lstm,test_f1macro_lstm,test_loss,test_loss_lstm,test_tot_loss
True,2,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,False,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,35_25,True,False,True,2,2,,,64,64,True,"[8, 8]",1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.8082878589630127,0.9619749784469604,0.29052287340164185,0.8204004168510437,0.693989098072052,0.8390809318704209,0.3824298796632108,0.421996879875195,0.6475740382060952,0.7812850475311279,0.9539330005645752,0.2491603046655655,0.796575129032135,0.6370023488998413,0.7957751017647839,0.3387699936811663,0.3660436137071651,0.6131951817864962,0.5045965313911438,0.557448148727417,1.2427804470062256
True,3,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,False,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,35_25,True,False,True,2,2,,,64,64,True,"[8, 8]",1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.7853242754936218,0.9650857448577881,0.27030932903289795,0.7911978960037231,0.7298985123634338,0.8374130950185241,0.3934735662510656,0.41842310694769713,0.6320241809477884,0.7571994662284851,0.9567148685455322,0.23366765677928925,0.7661316990852356,0.6729117631912231,0.7908193802306375,0.3478600019517695,0.36560805577072036,0.5988816581961449,0.5019998550415039,0.5600868463516235,1.243678092956543
True,4,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,False,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,35_25,True,False,True,2,2,,,64,64,True,"[8, 8]",1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.7562270760536194,0.9682825803756714,0.24911212921142578,0.7551290392875671,0.7665886282920837,0.8402181814236582,0.389786246749098,0.41887675507020283,0.6122766937154612,0.7310943007469177,0.9611250162124634,0.22187499701976776,0.7322137951850891,0.7205308079719543,0.7943362001579878,0.3475311372148288,0.37334372564302415,0.5852363752982613,0.49492043256759644,0.5509385466575623,1.2244842052459717
True,5,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,False,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,35_25,True,False,True,2,2,,,64,64,True,"[8, 8]",1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.7861470580101013,0.963815450668335,0.269298255443573,0.7932660579681396,0.7189695835113525,0.840104650207611,0.3961475191670335,0.41530054644808745,0.6310475863546656,0.7580223083496094,0.957614004611969,0.23566018044948578,0.7662971615791321,0.6799375414848328,0.7965962333984813,0.34792588311077,0.37285491419656785,0.6006747993114265,0.49785923957824707,0.5528672933578491,1.2299771308898926
True,6,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,False,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,35_25,True,False,True,2,2,,,64,64,True,"[8, 8]",1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.81180340051651,0.959750235080719,0.29131463170051575,0.826522171497345,0.6729117631912231,0.8378752277728094,0.3876056868293139,0.4201091192517537,0.6473858053629924,0.7777694463729858,0.9536272287368774,0.2454819232225418,0.7927696704864502,0.636221706867218,0.7920102309837151,0.34206493526943843,0.36895475819032764,0.6100305582580791,0.5090135335922241,0.5627719163894653,1.2542473077774048
True,7,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,False,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,35_25,True,False,True,2,2,,,64,64,True,"[8, 8]",1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.7613883018493652,0.9679217338562012,0.25278425216674805,0.7613335251808167,0.761904776096344,0.8416180122763538,0.393646790848642,0.42023346303501946,0.6159531430003208,0.72039794921875,0.9625526070594788,0.21713101863861084,0.7187293171882629,0.7361436486244202,0.7957262471772187,0.35022751472192737,0.37257939581719596,0.5791547874432516,0.4927123188972473,0.5497598052024841,1.2207152843475342
True,8,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,False,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,35_25,True,False,True,2,2,,,64,64,True,"[8, 8]",1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.8127758502960205,0.9582177996635437,0.29003435373306274,0.8290867209434509,0.6588602662086487,0.832078354879724,0.36704468369703985,0.41537267080745344,0.6458776421398682,0.7837534546852112,0.9512314796447754,0.24669604003429413,0.8019523620605469,0.6120218634605408,0.786198537035975,0.3197377538644196,0.35175097276264594,0.6109424486371388,0.5207356810569763,0.577090859413147,1.284930944442749
True,9,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,False,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,35_25,True,False,True,2,2,,,64,64,True,"[8, 8]",1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.839479386806488,0.9538897275924683,0.3210591673851013,0.8642455339431763,0.6057767271995544,0.8344751680494484,0.37390103715013084,0.4099766173031956,0.663271977908479,0.8023786544799805,0.9487837553024292,0.26080843806266785,0.8260257840156555,0.5792349576950073,0.7899213018142779,0.32526322449898615,0.35257410296411856,0.6214148836675673,0.5277503132820129,0.5683736801147461,1.2804020643234253
True,10,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,False,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,35_25,True,False,True,2,2,,,64,64,True,"[8, 8]",1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.7782930731773376,0.9671308398246765,0.2664446234703064,0.7813534140586853,0.7494145035743713,0.8397684479830708,0.3951900773400418,0.419984387197502,0.6287465240059731,0.7392475008964539,0.9591161608695984,0.22444388270378113,0.743299126625061,0.7010148167610168,0.7933141608945278,0.3457226770149319,0.37236533957845436,0.588775341436494,0.49789634346961975,0.5567249655723572,1.2351226806640625
True,11,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmgat1_alpha1.32422_graphV2d,,True,True,False,False,False,,64,lstmgnn,128,32,0.224398,relu,,25,0.000333634,0.000722616,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,30,10,gat,False,False,False,False,64,256,3,1,2,False,,64,1,relu,0.5,128,1,12,10,elu,0.453771,0.616016,0.2,False,64,64,3,6,3,1,1.32422,False,False,35_25,True,False,True,2,2,,,64,64,True,"[8, 8]",1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.6689355969429016,0.9756642580032349,0.20413923263549805,0.6500661969184875,0.8469945192337036,0.8331431459435388,0.34549627736188865,0.39217191097467385,0.5546237089617024,0.63759446144104,0.9665077924728394,0.18212629854679108,0.6206982135772705,0.7970335483551025,0.7873710794274204,0.3158229448595362,0.34660421545667447,0.5262161722518255,0.5191055536270142,0.5685932636260986,1.2720481157302856
