read_best,seed,tag,task,cpu,gpus,debug,verbose,num_workers,test_all,test,phase,version,graph_dir,data_dir,log_path,load,ts_mask,add_flat,add_diag,flat_first,random_g,sample_layers,flat_nhid,model,batch_size,fc_dim,main_dropout,main_act_fn,batch_norm_loc,epochs,l2,lr,sch,class_weights,clip_grad,use_amp,auto_lr,auto_bsz,attn,lstm_indim,lstm_layers,lstm_nhid,lstm_pooling,lstm_dropout,bilstm,lstm_attn_units,lstm_attn_hops,dynamic_g,edge_weight,g_version,ns_size1,ns_size2,gnn_name,flatten,inductive,self_loop,diag_to_gnn,gnn_indim,gnn_outdim,dg_k,sgc_layers,sgc_k,no_sgc_bias,sgc_norm,gcn_nhid,gcn_layers,gcn_activation,gcn_dropout,gat_nhid,gat_layers,gat_n_heads,gat_n_out_heads,gat_activation,gat_featdrop,gat_attndrop,gat_negslope,gat_residual,sage_nhid,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,mpnn_layer_s2s,lg_version,lg_alpha,fp_emb,fp_logits,ns_sizes,flat_after,read_lstm_emb,classification,out_dim,num_cls,final_act_fn,lstm_attn_type,lstm_outdim,lstm_last_ts_dim,add_last_ts,num_gpus,multi_gpu,ray_dir,num_flat_feats,test_acc,test_prec0,test_prec1,test_rec0,test_rec1,test_auroc,test_auprc,test_minpse,test_f1macro,test_acc_lstm,test_prec0_lstm,test_prec1_lstm,test_rec0_lstm,test_rec1_lstm,test_auroc_lstm,test_auprc_lstm,test_minpse_lstm,test_f1macro_lstm,test_loss,test_loss_lstm,test_tot_loss
True,1,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.7763482928276062,0.964752733707428,0.26137951016426086,0.7811879515647888,0.7306791543960571,0.8348034269636508,0.3920912436782942,0.4174454828660436,0.624173635943182,0.752038300037384,0.9573558568954468,0.23080995678901672,0.7595962882041931,0.680718183517456,0.7934943707115811,0.3454748642980025,0.37236533957845436,0.595909601633152,0.5047403573989868,0.5572100281715393,0.8419332504272461
True,3,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.7853242754936218,0.9642425179481506,0.2691078186035156,0.7919424176216125,0.7228727340698242,0.8365202152727513,0.39314231583260456,0.4140077821011673,0.630923476853767,0.7590695023536682,0.9573919177055359,0.23612622916698456,0.7677035331726074,0.6775956153869629,0.7953563666084416,0.3478521065520089,0.3783151326053042,0.6011653204103196,0.5035243630409241,0.554095447063446,0.838832437992096
True,2,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.7747026681900024,0.9656268954277039,0.2611095905303955,0.7785407304763794,0.73848557472229,0.8389309776703859,0.40436832334077827,0.4207650273224044,0.6239287589091709,0.7465779185295105,0.9581841230392456,0.22812902927398682,0.752564549446106,0.6900858879089355,0.7923590908409887,0.3498474137548221,0.37490257209664846,0.5929594016333612,0.5013033151626587,0.5570394992828369,0.838392972946167
True,4,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.7717854976654053,0.9651055335998535,0.2577996850013733,0.7756452560424805,0.7353630065917969,0.8385412388257644,0.39594111292575795,0.41887675507020283,0.6209140232925756,0.7417907118797302,0.9603411555290222,0.2278766632080078,0.745201826095581,0.709601879119873,0.7962922241837247,0.35485932287639976,0.36533957845433257,0.5920870355029983,0.49859854578971863,0.5506150126457214,0.8318004608154297
True,6,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.8005086183547974,0.9614065885543823,0.28069621324539185,0.8119622468948364,0.6924278140068054,0.836785121443528,0.390228181471003,0.419984387197502,0.6399235386255581,0.7717106938362122,0.9543443322181702,0.24145986139774323,0.7850760817527771,0.6455894112586975,0.7945161193661264,0.3482546281182207,0.3692427790788447,0.6064702163310115,0.5106654763221741,0.5623089671134949,0.850943922996521
True,5,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.7828558683395386,0.9644988179206848,0.2670878767967224,0.7888815402984619,0.7259953022003174,0.8378454565039826,0.39114903814081514,0.41217798594847777,0.6292027591333174,0.7536091208457947,0.9589770436286926,0.2343626320362091,0.7600099444389343,0.6932084560394287,0.7949587813231205,0.3484574211062208,0.3764614185502728,0.5991372219606694,0.5004852414131165,0.5516653060913086,0.8343226909637451
True,7,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.7743286490440369,0.9644649028778076,0.2591564953327179,0.7791197896003723,0.7291178703308105,0.8343218557019535,0.38266797231191374,0.40561622464898595,0.6221681196227833,0.7249607443809509,0.958465039730072,0.21448999643325806,0.7273328900337219,0.7025761008262634,0.7881180734979653,0.34259409029815097,0.3622170179547229,0.5778506501573852,0.5019866228103638,0.5543457269668579,0.8374461531639099
True,8,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.7663998603820801,0.9652309417724609,0.25334760546684265,0.7693580389022827,0.73848557472229,0.8350639417108262,0.38700798626077176,0.421996879875195,0.6167517610130526,0.7408931255340576,0.9597995281219482,0.22650964558124542,0.7446227669715881,0.7056986689567566,0.7914523910268232,0.34026180616002205,0.36817472698907955,0.5907861915805169,0.5044665932655334,0.5575383305549622,0.8418581485748291
True,9,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.7794150710105896,0.9640499353408813,0.2632027268409729,0.7853242754936218,0.7236533761024475,0.8357999572223678,0.3888221362940743,0.41217798594847777,0.6257830365025734,0.7580971121788025,0.9579970836639404,0.23629489541053772,0.7660489678382874,0.6830601096153259,0.7934620485422798,0.34307380181098124,0.3686671862821512,0.601230640264531,0.5035881400108337,0.5568640828132629,0.8405716419219971
True,10,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.8140473961830139,0.9581981301307678,0.29159459471702576,0.8305757641792297,0.6580796241760254,0.8362046139912822,0.3892566182624062,0.4140077821011673,0.6469784934257827,0.7910090684890747,0.9510774612426758,0.25334203243255615,0.8105559349060059,0.6065573692321777,0.7926392378348525,0.3450984144292766,0.3686671862821512,0.6163089260261656,0.5169216990470886,0.5706714987754822,0.8622606992721558
True,11,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.798638641834259,0.9622195959091187,0.2798751890659332,0.8090668320655823,0.7002341747283936,0.8362834658768304,0.3928950897006302,0.421667965705378,0.6394664720384804,0.7694666981697083,0.9546647667884827,0.2401154339313507,0.782180666923523,0.6494925618171692,0.793453717753389,0.3492374922453113,0.38095238095238093,0.6052345855528508,0.5083318948745728,0.5621902346611023,0.8485385179519653
True,12,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmmpnn1_alpha0.605145_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.0333384,relu,,25,3.85799e-05,0.000564662,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,10,mpnn,False,False,False,False,64,128,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,512,2,6,3,1,0.605145,False,False,25,True,False,True,2,2,,,64,64,True,1,False,/app/ray_results/,57,0.7865210771560669,0.963275134563446,0.2688803970813751,0.7941760420799255,0.7142857313156128,0.8365544102550592,0.3918093300867609,0.413953488372093,0.6306410427878407,0.75600266456604,0.957685112953186,0.23423665761947632,0.7638980746269226,0.6814988255500793,0.7955890474795553,0.349270293447713,0.36533957845433257,0.5992635621018336,0.507607638835907,0.558738648891449,0.8457255363464355
