read_best,seed,tag,task,cpu,gpus,debug,verbose,num_workers,test_all,test,phase,version,graph_dir,data_dir,log_path,load,ts_mask,add_flat,add_diag,flat_first,random_g,sample_layers,flat_nhid,model,batch_size,fc_dim,main_dropout,main_act_fn,batch_norm_loc,epochs,l2,lr,sch,class_weights,clip_grad,use_amp,auto_lr,auto_bsz,attn,lstm_indim,lstm_layers,lstm_nhid,lstm_pooling,lstm_dropout,bilstm,lstm_attn_units,lstm_attn_hops,dynamic_g,edge_weight,g_version,ns_size1,ns_size2,gnn_name,flatten,inductive,self_loop,diag_to_gnn,gnn_indim,gnn_outdim,dg_k,sgc_layers,sgc_k,no_sgc_bias,sgc_norm,gcn_nhid,gcn_layers,gcn_activation,gcn_dropout,gat_nhid,gat_layers,gat_n_heads,gat_n_out_heads,gat_activation,gat_featdrop,gat_attndrop,gat_negslope,gat_residual,sage_nhid,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,mpnn_layer_s2s,lg_version,lg_alpha,fp_emb,fp_logits,ns_sizes,flat_after,read_lstm_emb,classification,out_dim,num_cls,final_act_fn,lstm_attn_type,lstm_outdim,lstm_last_ts_dim,add_last_ts,num_gpus,multi_gpu,repeat_path,ray_dir,num_flat_feats,test_acc,test_prec0,test_prec1,test_rec0,test_rec1,test_auroc,test_auprc,test_minpse,test_f1macro,test_acc_lstm,test_prec0_lstm,test_prec1_lstm,test_rec0_lstm,test_rec1_lstm,test_auroc_lstm,test_auprc_lstm,test_minpse_lstm,test_f1macro_lstm,test_loss,test_loss_lstm,test_tot_loss
True,1,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmsage1_alpha1.63131_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.252103,relu,,25,2.2161900000000002e-05,0.0006271180000000001,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,20,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1.63131,False,False,35_25,True,False,True,2,2,,,64,64,True,1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.7809858918190002,0.9660154581069946,0.2674385905265808,0.7854070067405701,0.7392662167549133,0.8384550248477081,0.398938035217451,0.4180967238689547,0.629591027738428,0.7506170868873596,0.9582286477088928,0.23107151687145236,0.7571972012519836,0.688524603843689,0.7931502574665825,0.3446634205398653,0.3700234192037471,0.595975751427293,0.5019719600677489,0.5624732971191406,1.4195402860641482
True,2,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmsage1_alpha1.63131_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.252103,relu,,25,2.2161900000000002e-05,0.0006271180000000001,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,20,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1.63131,False,False,35_25,True,False,True,2,2,,,64,64,True,1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.8002094626426697,0.96284282207489,0.2825406789779663,0.8103077411651611,0.7049180269241333,0.8397728394066721,0.4006253130936933,0.4201091192517537,0.6417047527918149,0.794001042842865,0.9516160488128662,0.25733113288879395,0.8135340809822083,0.6096799373626709,0.7945259354894706,0.3522128667993062,0.3671083398285269,0.6195416895345323,0.4990822672843933,0.5584027171134949,1.4100102186203003
True,3,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmsage1_alpha1.63131_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.252103,relu,,25,2.2161900000000002e-05,0.0006271180000000001,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,20,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1.63131,False,False,35_25,True,False,True,2,2,,,64,64,True,1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.7755254507064819,0.965856671333313,0.2621681392192841,0.7792852520942688,0.7400468587875366,0.8381540831714966,0.3898817469303349,0.4187306501547988,0.6248868441649269,0.7693918943405151,0.9549358487129213,0.24049539864063266,0.78184974193573,0.6518344879150391,0.7926477623630198,0.3402660373840736,0.3671083398285269,0.6055625306564576,0.5013712048530579,0.5574955940246582,1.4108192920684814
True,4,,ihm,False,-1,False,True,8,False,False,test,,/datasets/eicu/graphs/,/datasets/eicu/mmap/,/nfs-share/catherine/workspace/emma/logs/exp_repeats/ihm/tm_flat/lstmgnn/lstmsage1_alpha1.63131_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.252103,relu,,25,2.2161900000000002e-05,0.0006271180000000001,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,20,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1.63131,False,False,35_25,True,False,True,2,2,,,64,64,True,1,False,/nfs-share/catherine/workspace/emma/logs/exp_repeats/,/nfs-share/catherine/ray_results0/,57,0.7883910536766052,0.9648559093475342,0.2730205357074737,0.7949205636978149,0.7267759442329407,0.842543149611669,0.40290125524948095,0.4246894409937888,0.6343067571278533,0.7643802762031555,0.9566727876663208,0.23918503522872925,0.7744870781898499,0.6690086126327515,0.7974822031100577,0.3472973042926553,0.3741231488698363,0.6041891426314827,0.4941095411777496,0.5526707172393799,1.3956867456436155
True,5,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmsage1_alpha1.63131_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.252103,relu,,25,2.2161900000000002e-05,0.0006271180000000001,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,20,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1.63131,False,False,35_25,True,False,True,2,2,,,64,64,True,1,False,,/app/ray_results/,57,0.7764230966567993,0.9664718508720398,0.26382744312286377,0.7797815799713135,0.7447306513786316,0.8383773999775779,0.3969054819018696,0.4270101483216237,0.6263867968040541,0.7518886923789978,0.9565851092338562,0.2295430451631546,0.7600926756858826,0.6744730472564697,0.7932247825082881,0.3474484709846092,0.3723653395784544,0.5948054381903851,0.4979949593544006,0.5566363930702211,1.406041383743286
True,6,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmsage1_alpha1.63131_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.252103,relu,,25,2.2161900000000002e-05,0.0006271180000000001,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,20,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1.63131,False,False,35_25,True,False,True,2,2,,,64,64,True,1,False,,/app/ray_results/,57,0.8017802238464355,0.9629193544387816,0.28440946340560913,0.8120449781417847,0.7049180269241333,0.8384324865118716,0.4037412915836888,0.4188034188034188,0.6431830758562878,0.7622110843658447,0.9556100964546204,0.2358017861843109,0.7729153037071228,0.6612021923065186,0.7928434067424368,0.3526844596947666,0.37568199532346064,0.6011188087788858,0.5050903558731079,0.5625400543212891,1.4227676391601562
True,7,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmsage1_alpha1.63131_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.252103,relu,,25,2.2161900000000002e-05,0.0006271180000000001,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,20,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1.63131,False,False,35_25,True,False,True,2,2,,,64,64,True,1,False,,/app/ray_results/,57,0.7752262949943542,0.9670883417129515,0.2635765075683594,0.7778788805007935,0.7501951456069946,0.8412310503613625,0.4018614058567441,0.4297971918876755,0.6261604376442946,0.7345350980758667,0.9593330025672911,0.22164948284626007,0.7376736998558044,0.7049180269241333,0.7935491666369601,0.3532526097181067,0.375487900078064,0.5856409663898295,0.4943338334560394,0.5526788830757141,1.39592444896698
True,8,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmsage1_alpha1.63131_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.252103,relu,,25,2.2161900000000002e-05,0.0006271180000000001,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,20,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1.63131,False,False,35_25,True,False,True,2,2,,,64,64,True,1,False,,/app/ray_results/,57,0.7845762372016907,0.9655207395553588,0.2701925933361053,0.7899569869041443,0.7338017225265503,0.8423312957127821,0.4022173328045536,0.4262295081967213,0.6319589260765732,0.7529358863830566,0.9578859806060792,0.23225635290145874,0.7601754069328308,0.6846213936805725,0.7963976506400371,0.3529228241609844,0.3770491803278688,0.5972502922885006,0.495364248752594,0.5525531768798828,1.39674973487854
True,9,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmsage1_alpha1.63131_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.252103,relu,,25,2.2161900000000002e-05,0.0006271180000000001,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,20,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1.63131,False,False,35_25,True,False,True,2,2,,,64,64,True,1,False,,/app/ray_results/,57,0.8246690034866333,0.9587570428848268,0.3066569566726685,0.8423229455947876,0.6580796241760254,0.8375709925288969,0.3807464285479871,0.4110764430577223,0.6575693746609781,0.7952726483345032,0.9497835636138916,0.25521183013916016,0.8167604207992554,0.5925058722496033,0.7897402524603597,0.33518698885821696,0.3543913713405239,0.6175101668407721,0.5131106376647949,0.5709779858589172,1.444552659988403
True,10,,ihm,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/ihm/tm_flat/lstmgnn/lstmsage1_alpha1.63131_graphV2d,,True,True,False,False,False,,64,lstmgnn,64,32,0.252103,relu,,25,2.2161900000000002e-05,0.0006271180000000001,plateau,"tensor([ 1.1055, 10.4796])",0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,20,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,64,64,3,6,3,1,1.63131,False,False,35_25,True,False,True,2,2,,,64,64,True,1,False,,/app/ray_results/,57,0.7766474485397339,0.9659090638160706,0.2632602155208588,0.7805261611938477,0.7400468587875366,0.8411022783222282,0.4067555012876679,0.4192037470725996,0.6258719506562788,0.7470266819000244,0.957825005054474,0.22792023420333865,0.7533918023109436,0.6869633197784424,0.7940594758913426,0.3482452473941313,0.3762685402029664,0.5928380970617821,0.4971749782562256,0.5582073926925659,1.4077842235565186
