read_best,seed,tag,task,cpu,gpus,debug,verbose,num_workers,test_all,test,phase,version,graph_dir,data_dir,log_path,load,ts_mask,add_flat,add_diag,flat_first,random_g,sample_layers,flat_nhid,model,batch_size,fc_dim,main_dropout,main_act_fn,batch_norm_loc,epochs,l2,lr,sch,class_weights,clip_grad,use_amp,auto_lr,auto_bsz,attn,lstm_indim,lstm_layers,lstm_nhid,lstm_pooling,lstm_dropout,bilstm,lstm_attn_units,lstm_attn_hops,dynamic_g,edge_weight,g_version,ns_size1,ns_size2,gnn_name,flatten,inductive,self_loop,diag_to_gnn,gnn_indim,gnn_outdim,dg_k,sgc_layers,sgc_k,no_sgc_bias,sgc_norm,gcn_nhid,gcn_layers,gcn_activation,gcn_dropout,gat_nhid,gat_layers,gat_n_heads,gat_n_out_heads,gat_activation,gat_featdrop,gat_attndrop,gat_negslope,gat_residual,sage_nhid,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,mpnn_layer_s2s,lg_version,lg_alpha,fp_emb,fp_logits,ns_sizes,flat_after,read_lstm_emb,classification,out_dim,num_cls,final_act_fn,lstm_attn_type,lstm_outdim,lstm_last_ts_dim,add_last_ts,num_gpus,multi_gpu,ray_dir,num_flat_feats,test_kappa,test_mad,test_mse,test_mape,test_msle,test_r2,test_kappa_lstm,test_mad_lstm,test_mse_lstm,test_mape_lstm,test_msle_lstm,test_r2_lstm,test_loss,test_loss_lstm,test_tot_loss
True,1,,los,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/los/tm_flat/lstmgnn/lstmsage1_alpha1.05791_graphV2d,,True,True,False,False,False,,64,lstmgnn,256,32,0.352443,relu,,25,5.15579e-05,0.000700711,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,30,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,256,64,3,6,3,1,1.05791,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,True,1,False,/app/ray_results/,57,0.24794763840824485,1.8701828718185425,14.744878768920898,50.76003074645996,0.37677693367004395,0.12329408714902901,0.22516205594108307,1.8918416500091553,15.158772468566895,50.60185194015503,0.3898225724697113,0.09868456393903191,0.37677696347236633,0.3898225724697113,0.7891741394996643
True,2,,los,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/los/tm_flat/lstmgnn/lstmsage1_alpha1.05791_graphV2d,,True,True,False,False,False,,64,lstmgnn,256,32,0.352443,relu,,25,5.15579e-05,0.000700711,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,30,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,256,64,3,6,3,1,1.05791,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,True,1,False,/app/ray_results/,57,0.23827144704243652,1.8796148300170898,14.849308967590332,51.304566860198975,0.3799435496330261,0.11708489242479592,0.19009339233688238,1.9118837118148804,15.26327896118164,52.541810274124146,0.3953213691711426,0.09247076661550535,0.3799435496330261,0.3953213393688202,0.7981579303741455
True,3,,los,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/los/tm_flat/lstmgnn/lstmsage1_alpha1.05791_graphV2d,,True,True,False,False,False,,64,lstmgnn,256,32,0.352443,relu,,25,5.15579e-05,0.000700711,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,30,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,256,64,3,6,3,1,1.05791,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,True,1,False,/app/ray_results/,57,0.24212474774861192,1.869497537612915,14.926556587219238,49.63555634021759,0.3793633282184601,0.11249173604576923,0.20324143548151608,1.8981648683547974,15.495352745056152,49.47879910469055,0.3954511284828186,0.0786720474327961,0.3793633282184601,0.39545106887817383,0.7977149486541748
True,4,,los,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/los/tm_flat/lstmgnn/lstmsage1_alpha1.05791_graphV2d,,True,True,False,False,False,,64,lstmgnn,256,32,0.352443,relu,,25,5.15579e-05,0.000700711,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,30,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,256,64,3,6,3,1,1.05791,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,True,1,False,/app/ray_results/,57,0.2499285431890017,1.8650016784667969,14.922462463378906,48.86884093284607,0.3792092502117157,0.11273519988349956,0.20922598259975123,1.8950080871582031,15.375466346740723,49.62166249752045,0.3932097554206848,0.08580035454784107,0.3792091906070709,0.3932097554206848,0.7951897382736206
True,6,,los,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/los/tm_flat/lstmgnn/lstmsage1_alpha1.05791_graphV2d,,True,True,False,False,False,,64,lstmgnn,256,32,0.352443,relu,,25,5.15579e-05,0.000700711,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,30,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,256,64,3,6,3,1,1.05791,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,True,1,False,/app/ray_results/,57,0.25296843426707605,1.8642548322677612,14.825447082519531,49.32240843772888,0.3783907890319824,0.1185036149076576,0.0,3.6223411560058594,29.93985366821289,99.03584122657776,24.021455764770508,-0.7801739095118312,0.3783907890319824,24.02145767211914,25.790929794311523
True,8,,los,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/los/tm_flat/lstmgnn/lstmsage1_alpha1.05791_graphV2d,,True,True,False,False,False,,64,lstmgnn,256,32,0.352443,relu,,25,5.15579e-05,0.000700711,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,30,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,256,64,3,6,3,1,1.05791,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,True,1,False,/app/ray_results/,57,0.2563191840770549,1.8683425188064575,14.722460746765137,50.27048587799072,0.3771391808986664,0.12462700643861047,0.22908477072387268,1.8955848217010498,15.13033676147461,50.9307861328125,0.3913062810897827,0.10037531854550852,0.377139151096344,0.3913062512874603,0.7911059260368347
True,9,,los,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/los/tm_flat/lstmgnn/lstmsage1_alpha1.05791_graphV2d,,True,True,False,False,False,,64,lstmgnn,256,32,0.352443,relu,,25,5.15579e-05,0.000700711,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,30,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,256,64,3,6,3,1,1.05791,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,True,1,False,/app/ray_results/,57,0.2335034857820093,1.9042929410934448,14.660664558410645,54.93083596229553,0.3842794895172119,0.1283012534323289,0.18995099685324512,1.928947925567627,15.300673484802246,54.311197996139526,0.3986085057258606,0.09024740494329331,0.3842794895172119,0.3986084759235382,0.8059713840484619
True,10,,los,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/los/tm_flat/lstmgnn/lstmsage1_alpha1.05791_graphV2d,,True,True,False,False,False,,64,lstmgnn,256,32,0.352443,relu,,25,5.15579e-05,0.000700711,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,30,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,256,64,3,6,3,1,1.05791,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,True,1,False,/app/ray_results/,57,0.2357156129185639,1.895447850227356,14.610079765319824,54.469454288482666,0.38054630160331726,0.1313089419475737,0.22074711280249848,1.9048690795898438,15.048224449157715,52.73197889328003,0.39023062586784363,0.10525758444203648,0.3805462718009949,0.39023059606552124,0.7933751344680786
True,11,,los,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/los/tm_flat/lstmgnn/lstmsage1_alpha1.05791_graphV2d,,True,True,False,False,False,,64,lstmgnn,256,32,0.352443,relu,,25,5.15579e-05,0.000700711,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,30,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,256,64,3,6,3,1,1.05791,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,True,1,False,/app/ray_results/,57,0.21653411425754832,1.8913706541061401,15.014450073242188,51.57362222671509,0.38461998105049133,0.10726572077217778,0.18440572534134714,1.9110424518585205,15.523300170898438,50.75317621231079,0.39946842193603516,0.07701046739299677,0.38461995124816895,0.3994683623313904,0.807221531867981
True,12,,los,False,-1,False,True,8,False,False,test,,/app/data/graphs/,/app/data/mmap/,/app/logs/los/tm_flat/lstmgnn/lstmsage1_alpha1.05791_graphV2d,,True,True,False,False,False,,64,lstmgnn,256,32,0.352443,relu,,25,5.15579e-05,0.000700711,plateau,False,0,False,False,False,False,34,2,64,last,0.2,True,16,4,False,False,2d,10,30,sage,False,False,False,False,64,64,3,1,2,False,,64,1,relu,0.5,64,1,8,8,elu,0.6,0.6,0.2,False,256,64,3,6,3,1,1.05791,False,False,35_25,True,False,False,1,1,hardtanh,,64,64,True,1,False,/app/ray_results/,57,0.23409594980965565,1.8724720478057861,14.988128662109375,49.90476965904236,0.37833908200263977,0.10883079765508086,0.19472506800152178,1.8960044384002686,15.615992546081543,48.95648956298828,0.3945493698120117,0.071499066137104,0.378339022397995,0.39454934000968933,0.7957366704940796
