version,add_diag,add_flat,add_last_ts,attn,auto_bsz,auto_lr,batch_norm_loc,batch_size,bilstm,class_weights,classification,clip_grad,cpu,data_dir,debug,dg_k,diag_to_gnn,dynamic_g,edge_weight,epochs,fc_dim,final_act_fn,flat_after,flat_first,flat_nhid,flatten,g_version,gat_activation,gat_attndrop,gat_featdrop,gat_layers,gat_n_heads,gat_n_out_heads,gat_negslope,gat_nhid,gat_residual,gcn_activation,gcn_dropout,gcn_layers,gcn_nhid,gnn_indim,gnn_name,gnn_outdim,gpus,graph_dir,inductive,l2,lg_alpha,lg_version,load,log_path,lr,lstm_attn_hops,lstm_attn_type,lstm_attn_units,lstm_dropout,lstm_indim,lstm_last_ts_dim,lstm_layers,lstm_nhid,lstm_outdim,lstm_pooling,main_act_fn,main_dropout,model,mpnn_layer_s2s,mpnn_nhid,mpnn_step_mp,mpnn_step_s2s,multi_gpu,no_sgc_bias,ns_size1,ns_size2,ns_sizes,num_cls,num_flat_feats,num_gpus,num_workers,out_dim,phase,random_g,ray_dir,read_best,read_lstm_emb,sage_nhid,sample_layers,sch,seed,self_loop,sgc_k,sgc_layers,sgc_norm,tag,task,test,ts_mask,use_amp,verbose,test_kappa,test_mad,test_mse,test_mape,test_msle,test_r2,test_loss
,True,True,False,False,False,False,,64,False,False,False,0,True,/datasets/eicu/mmap/,False,3,False,False,False,25,32,hardtanh,True,False,64,True,2d,elu,0.6,0.6,1,8,8,0.2,64,False,relu,0.5,1,64,816,sage,64,,/datasets/eicu/graphs/,False,5.9185e-05,1,1,,/app/logs/los/tm_flatd/gnn/sage_los_graphV2d,0.000662324,4,,16,0.2,,64,2,64,64,last,relu,0.411038,gnn,3,64,3,6,False,False,25,10,35_25,1,576,0,8,1,,False,/app/ray_results/,True,False,64,,plateau,11,False,2,1,,,los,False,True,False,True,0.24458885529647978,1.9599860906600952,16.978694915771484,51.05212330818176,0.3871347904205322,0.1187679414561873,0.38713476061820984
,True,True,False,False,False,False,,64,False,False,False,0,True,/datasets/eicu/mmap/,False,3,False,False,False,25,32,hardtanh,True,False,64,True,2d,elu,0.6,0.6,1,8,8,0.2,64,False,relu,0.5,1,64,816,sage,64,,/datasets/eicu/graphs/,False,5.9185e-05,1,1,,/app/logs/los/tm_flatd/gnn/sage_los_graphV2d,0.000662324,4,,16,0.2,,64,2,64,64,last,relu,0.411038,gnn,3,64,3,6,False,False,25,10,35_25,1,576,0,8,1,,False,/app/ray_results/,True,False,64,,plateau,8,False,2,1,,,los,False,True,False,True,0.2437706920667928,1.9639246463775635,16.921756744384766,51.67516469955444,0.3878081440925598,0.1217232497815327,0.3878081142902374
,True,True,False,False,False,False,,64,False,False,False,0,True,/datasets/eicu/mmap/,False,3,False,False,False,25,32,hardtanh,True,False,64,True,2d,elu,0.6,0.6,1,8,8,0.2,64,False,relu,0.5,1,64,816,sage,64,,/datasets/eicu/graphs/,False,5.9185e-05,1,1,,/app/logs/los/tm_flatd/gnn/sage_los_graphV2d,0.000662324,4,,16,0.2,,64,2,64,64,last,relu,0.411038,gnn,3,64,3,6,False,False,25,10,35_25,1,576,0,8,1,,False,/app/ray_results/,True,False,64,,plateau,10,False,2,1,,,los,False,True,False,True,0.24764007229414353,1.9675692319869995,16.818191528320312,52.604758739471436,0.38778719305992126,0.1270984718512883,0.38778719305992126
,True,True,False,False,False,False,,64,False,False,False,0,True,/datasets/eicu/mmap/,False,3,False,False,False,25,32,hardtanh,True,False,64,True,2d,elu,0.6,0.6,1,8,8,0.2,64,False,relu,0.5,1,64,816,sage,64,,/datasets/eicu/graphs/,False,5.9185e-05,1,1,,/app/logs/los/tm_flatd/gnn/sage_los_graphV2d,0.000662324,4,,16,0.2,,64,2,64,64,last,relu,0.411038,gnn,3,64,3,6,False,False,25,10,35_25,1,576,0,8,1,,False,/app/ray_results/,True,False,64,,plateau,9,False,2,1,,,los,False,True,False,True,0.24044698625310468,1.9629513025283813,17.03599739074707,51.08976364135742,0.3885050415992737,0.1157938768996768,0.3885050117969513
,True,True,False,False,False,False,,64,False,False,False,0,True,/datasets/eicu/mmap/,False,3,False,False,False,25,32,hardtanh,True,False,64,True,2d,elu,0.6,0.6,1,8,8,0.2,64,False,relu,0.5,1,64,816,sage,64,,/datasets/eicu/graphs/,False,5.9185e-05,1,1,,/app/logs/los/tm_flatd/gnn/sage_los_graphV2d,0.000662324,4,,16,0.2,,64,2,64,64,last,relu,0.411038,gnn,3,64,3,6,False,False,25,10,35_25,1,576,0,8,1,,False,/app/ray_results/,True,False,64,,plateau,5,False,2,1,,,los,False,True,False,True,0.24079319970857282,1.9594643115997314,17.078224182128906,50.45020580291748,0.38870349526405334,0.11360216478346152,0.38870352506637573
,True,True,False,False,False,False,,64,False,False,False,0,True,/datasets/eicu/mmap/,False,3,False,False,False,25,32,hardtanh,True,False,64,True,2d,elu,0.6,0.6,1,8,8,0.2,64,False,relu,0.5,1,64,816,sage,64,,/datasets/eicu/graphs/,False,5.9185e-05,1,1,,/app/logs/los/tm_flatd/gnn/sage_los_graphV2d,0.000662324,4,,16,0.2,,64,2,64,64,last,relu,0.411038,gnn,3,64,3,6,False,False,25,10,35_25,1,576,0,8,1,,False,/app/ray_results/,True,False,64,,plateau,2,False,2,1,,,los,False,True,False,True,0.2245654129459569,1.967654824256897,17.32769012451172,50.12937784194946,0.3932984173297882,0.10065441069646242,0.39329835772514343
,True,True,False,False,False,False,,64,False,False,False,0,True,/datasets/eicu/mmap/,False,3,False,False,False,25,32,hardtanh,True,False,64,True,2d,elu,0.6,0.6,1,8,8,0.2,64,False,relu,0.5,1,64,816,sage,64,,/datasets/eicu/graphs/,False,5.9185e-05,1,1,,/app/logs/los/tm_flatd/gnn/sage_los_graphV2d,0.000662324,4,,16,0.2,,64,2,64,64,last,relu,0.411038,gnn,3,64,3,6,False,False,25,10,35_25,1,576,0,8,1,,False,/app/ray_results/,True,False,64,,plateau,4,False,2,1,,,los,False,True,False,True,0.2421164457104823,1.959275484085083,17.095556259155273,50.24332404136658,0.38869157433509827,0.11270266967787923,0.3886915445327759
,True,True,False,False,False,False,,64,False,False,False,0,True,/datasets/eicu/mmap/,False,3,False,False,False,25,32,hardtanh,True,False,64,True,2d,elu,0.6,0.6,1,8,8,0.2,64,False,relu,0.5,1,64,816,sage,64,,/datasets/eicu/graphs/,False,5.9185e-05,1,1,,/app/logs/los/tm_flatd/gnn/sage_los_graphV2d,0.000662324,4,,16,0.2,,64,2,64,64,last,relu,0.411038,gnn,3,64,3,6,False,False,25,10,35_25,1,576,0,8,1,,False,/app/ray_results/,True,False,64,,plateau,12,False,2,1,,,los,False,True,False,True,0.24147777282923566,1.957507610321045,17.111173629760742,50.12742877006531,0.38853609561920166,0.11189204138180953,0.3885360658168793
,True,True,False,False,False,False,,64,False,False,False,0,True,/datasets/eicu/mmap/,False,3,False,False,False,25,32,hardtanh,True,False,64,True,2d,elu,0.6,0.6,1,8,8,0.2,64,False,relu,0.5,1,64,816,sage,64,,/datasets/eicu/graphs/,False,5.9185e-05,1,1,,/app/logs/los/tm_flatd/gnn/sage_los_graphV2d,0.000662324,4,,16,0.2,,64,2,64,64,last,relu,0.411038,gnn,3,64,3,6,False,False,25,10,35_25,1,576,0,8,1,,False,/app/ray_results/,True,False,64,,plateau,3,False,2,1,,,los,False,True,False,True,0.2359188434389229,1.9764906167984009,17.05059814453125,52.33380198478699,0.3931027948856354,0.11503613367078824,0.393102765083313
,True,True,False,False,False,False,,64,False,False,False,0,True,/datasets/eicu/mmap/,False,3,False,False,False,25,32,hardtanh,True,False,64,True,2d,elu,0.6,0.6,1,8,8,0.2,64,False,relu,0.5,1,64,816,sage,64,,/datasets/eicu/graphs/,False,5.9185e-05,1,1,,/app/logs/los/tm_flatd/gnn/sage_los_graphV2d,0.000662324,4,,16,0.2,,64,2,64,64,last,relu,0.411038,gnn,3,64,3,6,False,False,25,10,35_25,1,576,0,8,1,,False,/app/ray_results/,True,False,64,,plateau,6,False,2,1,,,los,False,True,False,True,0.23740863428915604,1.9504470825195312,17.38289451599121,47.71206080913544,0.391433984041214,0.09778914483787216,0.391433984041214
